table,column,column_datatype,column_description,primary_key,foreign_key_ref
DimAccount,AccountDescription,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AccountDescription' column in the 'DimAccount' table holds textual descriptions of various accounts, providing detailed information about the nature and purpose of each account for reporting and analysis purposes.",FALSE,
DimAccount,AccountType,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AccountType' column in the 'DimAccount' database table holds categorical data representing the classification of accounts, such as 'Savings', 'Checking', or 'Credit', to facilitate financial analysis and reporting.",FALSE,
DimAccount,Operator,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Operator' column in the 'DimAccount' database table is designed to store the identifier or name of the individual or entity responsible for managing or overseeing the account, facilitating tracking of account activities and accountability.",FALSE,
DimAccount,CustomMembers,"NVARCHAR(300) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CustomMembers' column in the 'DimAccount' table is designed to store unique identifiers or attributes related to specific account members, enabling personalized data tracking and analysis for tailored reporting and insights.",FALSE,
DimAccount,ValueType,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ValueType' column in the 'DimAccount' table is designed to store categorical data that indicates the nature of the account's value, such as whether it represents a monetary amount, a percentage, or a quantity, thereby facilitating data analysis and reporting.",FALSE,
DimAccount,CustomMemberOptions,"NVARCHAR(200) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CustomMemberOptions' column in the 'DimAccount' table is designed to store user-defined settings or preferences related to account customization, potentially including options for notifications, display preferences, or feature access tailored to individual user needs.",FALSE,
DimCurrency,CurrencyKey,INTEGER,"The 'CurrencyKey' column in the 'DimCurrency' table holds unique identifiers for different currencies, serving as a primary key to facilitate efficient data retrieval and relationships with other tables in the database.",TRUE,
DimCurrency,CurrencyAlternateKey,"NCHAR(3) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CurrencyAlternateKey' column in the 'DimCurrency' table holds unique identifiers for different currencies, serving as a reference key to facilitate efficient currency lookups and ensure data integrity across related financial records.",FALSE,
DimCurrency,CurrencyName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CurrencyName' column in the 'DimCurrency' table holds string data representing the names of various currencies, serving the purpose of identifying and categorizing different monetary units used in financial transactions and reporting.",FALSE,
DimCustomer,CustomerKey,INTEGER,"The 'CustomerKey' column in the 'DimCustomer' table holds a unique identifier for each customer, serving as a primary key to facilitate efficient data retrieval and ensure data integrity within the customer dimension of a data warehouse.",TRUE,
DimCustomer,GeographyKey,INTEGER,"The 'GeographyKey' column in the 'DimCustomer' table holds unique identifiers that link each customer to specific geographic locations, facilitating analysis of customer distribution and regional sales performance.",FALSE,DimGeography.GeographyKey
DimCustomer,CustomerAlternateKey,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CustomerAlternateKey' column in the 'DimCustomer' table holds unique identifiers for customers that serve as alternative keys, allowing for the integration of customer data from different sources or systems while maintaining data integrity and facilitating cross-referencing.",FALSE,
DimCustomer,Title,"NVARCHAR(8) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Title' column in the 'DimCustomer' database table holds data representing the honorifics or titles (such as Mr., Mrs., Dr., etc.) associated with each customer, serving to personalize communications and enhance customer relationship management.",FALSE,
DimCustomer,FirstName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FirstName' column in the 'DimCustomer' database table holds string data representing the given names of customers, serving the purpose of personalizing customer interactions and facilitating identification within the database.",FALSE,
DimCustomer,MiddleName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'MiddleName' column in the 'DimCustomer' database table is designed to store the middle names of customers, providing additional identification details that can enhance personalization and accuracy in customer records.",FALSE,
DimCustomer,LastName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'LastName' column in the 'DimCustomer' database table holds string data representing the surname of customers, serving to uniquely identify individuals and facilitate personalized communication and record-keeping.",FALSE,
DimCustomer,NameStyle,BIT,"The 'NameStyle' column in the 'DimCustomer' table holds data indicating the format of customer names (e.g., whether the name is presented in a traditional or alternative style), which helps in personalizing communication and ensuring proper name representation in marketing and customer interactions.",FALSE,
DimCustomer,BirthDate,DATE,"The 'BirthDate' column in the 'DimCustomer' table stores the date of birth for each customer, serving to facilitate age-related analysis, personalized marketing strategies, and compliance with age-restricted services.",FALSE,
DimCustomer,MaritalStatus,"NCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'MaritalStatus' column in the 'DimCustomer' database table holds categorical data indicating the marital status of customers (e.g., single, married, divorced, widowed), which is likely used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,Suffix,"NVARCHAR(10) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Suffix' column in the 'DimCustomer' database table is designed to store additional identifiers such as ""Jr."", ""Sr."", ""III"", or other familial or generational titles that may follow a customer's name, aiding in the accurate representation and differentiation of individuals with similar names.",FALSE,
DimCustomer,Gender,"NVARCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Gender' column in the 'DimCustomer' database table holds categorical data representing the gender identity of customers, typically used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,EmailAddress,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EmailAddress' column in the 'DimCustomer' table holds the email addresses of customers, serving as a unique identifier for communication and marketing purposes.",FALSE,
DimCustomer,YearlyIncome,MONEY,"The 'YearlyIncome' column in the 'DimCustomer' table holds numerical data representing the annual income of each customer, which is likely used for demographic analysis, targeted marketing, and assessing customer purchasing power.",FALSE,
DimCustomer,TotalChildren,TINYINT,"The 'TotalChildren' column in the 'DimCustomer' table holds integer values representing the total number of children associated with each customer, serving to facilitate demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,NumberChildrenAtHome,TINYINT,"The 'NumberChildrenAtHome' column in the 'DimCustomer' database table holds integer values representing the number of children residing in a customer's household, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,EnglishEducation,"NVARCHAR(40) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishEducation' column in the 'DimCustomer' table holds data indicating the level of English education attained by customers, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,SpanishEducation,"NVARCHAR(40) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishEducation' column in the 'DimCustomer' table holds data indicating the level of education attained by customers in Spanish-speaking contexts, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,FrenchEducation,"NVARCHAR(40) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchEducation' column in the 'DimCustomer' table holds data related to the educational background of customers in France, including details such as the highest degree obtained, field of study, and educational institution, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,EnglishOccupation,"NVARCHAR(100) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishOccupation' column in the 'DimCustomer' table holds textual data representing the job titles or professions of customers, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,SpanishOccupation,"NVARCHAR(100) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishOccupation' column in the 'DimCustomer' database table is designed to store the occupation of customers who speak Spanish, facilitating targeted marketing and demographic analysis for Spanish-speaking populations.",FALSE,
DimCustomer,FrenchOccupation,"NVARCHAR(100) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchOccupation' column in the 'DimCustomer' table is designed to store the job titles or professions of customers residing in France, facilitating demographic analysis and targeted marketing strategies based on occupational data.",FALSE,
DimCustomer,HouseOwnerFlag,"NCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'HouseOwnerFlag' column in the 'DimCustomer' table is a boolean field that indicates whether a customer owns a house, serving to differentiate between homeowners and non-homeowners for targeted marketing and demographic analysis.",FALSE,
DimCustomer,NumberCarsOwned,TINYINT,"The 'NumberCarsOwned' column in the 'DimCustomer' table holds integer values representing the total number of vehicles owned by each customer, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
DimCustomer,AddressLine1,"NVARCHAR(120) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AddressLine1' column in the 'DimCustomer' database table holds the primary street address information for customers, serving to identify their location for shipping, billing, and communication purposes.",FALSE,
DimCustomer,AddressLine2,"NVARCHAR(120) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AddressLine2' column in the 'DimCustomer' database table is designed to store additional address information, such as apartment numbers, suite identifiers, or secondary address details, to provide a more complete and accurate representation of a customer's location.",FALSE,
DimCustomer,Phone,"NVARCHAR(20) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Phone' column in the 'DimCustomer' database table is designed to store the contact telephone numbers of customers, facilitating communication and customer service interactions.",FALSE,
DimCustomer,DateFirstPurchase,DATE,"The 'DateFirstPurchase' column in the 'DimCustomer' table holds the date when a customer made their first purchase, serving to track customer acquisition timing and analyze purchasing behavior over time.",FALSE,
DimCustomer,CommuteDistance,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CommuteDistance' column in the 'DimCustomer' table holds numerical data representing the distance (in miles or kilometers) that customers travel from their residence to their workplace, which can be used for analyzing customer behavior, preferences, and regional market trends.",FALSE,
DimDate,DateKey,INTEGER,"The 'DateKey' column in the 'DimDate' table holds unique integer values representing specific dates, typically formatted as YYYYMMDD, and serves as a primary key to facilitate efficient date-based querying and analysis in time-related data operations.",TRUE,
DimDate,FullDateAlternateKey,DATE,"The 'FullDateAlternateKey' column in the 'DimDate' table likely holds a unique identifier for each date in a standardized format, serving as a key for referencing specific dates in time-related analyses and ensuring data integrity across related tables.",FALSE,
DimDate,DayNumberOfWeek,TINYINT,"The 'DayNumberOfWeek' column in the 'DimDate' table holds integer values representing the days of the week (1 for Sunday through 7 for Saturday), facilitating time-based analysis and reporting by enabling easy categorization and filtering of data according to specific days.",FALSE,
DimDate,EnglishDayNameOfWeek,"NVARCHAR(10) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishDayNameOfWeek' column in the 'DimDate' table holds textual representations of the days of the week (e.g., ""Monday,"" ""Tuesday"") to facilitate date-related queries and reporting by providing a clear and user-friendly reference for day-based analysis.",FALSE,
DimDate,SpanishDayNameOfWeek,"NVARCHAR(10) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishDayNameOfWeek' column in the 'DimDate' table holds the names of the days of the week in Spanish (e.g., Lunes, Martes, etc.), serving to facilitate date-related queries and reporting in Spanish-speaking contexts.",FALSE,
DimDate,FrenchDayNameOfWeek,"NVARCHAR(10) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchDayNameOfWeek' column in the 'DimDate' table holds the names of the days of the week in French, serving to facilitate date-related queries and reporting in French-speaking contexts.",FALSE,
DimDate,DayNumberOfMonth,TINYINT,"The 'DayNumberOfMonth' column in the 'DimDate' table holds integer values representing the day of the month (ranging from 1 to 31) for each date entry, serving to facilitate date-related calculations and analyses in reporting and data processing.",FALSE,
DimDate,DayNumberOfYear,SMALLINT,"The 'DayNumberOfYear' column in the 'DimDate' table holds integer values representing the sequential day of the year (ranging from 1 to 365 or 366 for leap years), serving the purpose of facilitating date calculations and comparisons in time-based analyses.",FALSE,
DimDate,WeekNumberOfYear,TINYINT,"The 'WeekNumberOfYear' column in the 'DimDate' table holds integer values representing the sequential week number (1-52 or 1-53) of each date within a calendar year, facilitating time-based analysis and reporting by allowing users to group and aggregate data on a weekly basis.",FALSE,
DimDate,EnglishMonthName,"NVARCHAR(10) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishMonthName' column in the 'DimDate' table holds the full names of the months (e.g., January, February) in English, serving to facilitate human-readable date representations and enhance reporting and analysis functionalities.",FALSE,
DimDate,SpanishMonthName,"NVARCHAR(10) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishMonthName' column in the 'DimDate' table holds the names of the months in Spanish, serving the purpose of providing localized date information for applications that require Spanish language support.",FALSE,
DimDate,FrenchMonthName,"NVARCHAR(10) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FrenchMonthName' column in the 'DimDate' table holds the names of the months in French, serving the purpose of providing localized date representations for applications requiring French language support.",FALSE,
DimDate,MonthNumberOfYear,TINYINT,"The 'MonthNumberOfYear' column in the 'DimDate' table holds integer values representing the months of the year (1 for January through 12 for December), serving to facilitate time-based analysis and reporting by enabling easy categorization and filtering of date-related data.",FALSE,
DimDate,CalendarQuarter,TINYINT,"The 'CalendarQuarter' column in the 'DimDate' table holds data representing the fiscal quarter of a given date, typically formatted as Q1, Q2, Q3, or Q4, and is used for time-based analysis and reporting in financial and operational contexts.",FALSE,
DimDate,CalendarYear,SMALLINT,"The 'CalendarYear' column in the 'DimDate' table holds integer values representing the year of a specific date, serving the purpose of enabling time-based analysis and reporting by allowing users to aggregate and filter data across different years.",FALSE,
DimDate,CalendarSemester,TINYINT,"The 'CalendarSemester' column in the 'DimDate' table holds data representing the academic semester (e.g., Fall, Spring, Summer) corresponding to each date, facilitating time-based analysis and reporting for educational institutions.",FALSE,
DimDate,FiscalQuarter,TINYINT,"The 'FiscalQuarter' column in the 'DimDate' table holds data representing the fiscal quarter of a given date, typically used for financial reporting and analysis to align business performance metrics with the organization's fiscal calendar.",FALSE,
DimDate,FiscalYear,SMALLINT,"The 'FiscalYear' column in the 'DimDate' table holds integer values representing the fiscal year associated with each date, serving to facilitate financial reporting and analysis by aligning dates with the organization's accounting periods.",FALSE,
DimDate,FiscalSemester,TINYINT,"The 'FiscalSemester' column in the 'DimDate' table holds data representing the fiscal semester of a given date, typically used for financial reporting and analysis to align business activities with the organization's fiscal calendar.",FALSE,
DimDepartmentGroup,DepartmentGroupKey,INTEGER,"The 'DepartmentGroupKey' column in the 'DimDepartmentGroup' table likely holds unique identifiers for various department groups within an organization, serving as a primary key to facilitate efficient data retrieval and relationships with other tables in the database.",TRUE,
DimDepartmentGroup,ParentDepartmentGroupKey,INTEGER,"The 'ParentDepartmentGroupKey' column in the 'DimDepartmentGroup' table holds unique identifiers for parent department groups, facilitating hierarchical relationships and enabling the organization of departments into structured groupings for reporting and analysis purposes.",FALSE,DimDepartmentGroup.DepartmentGroupKey
DimDepartmentGroup,DepartmentGroupName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'DepartmentGroupName' column in the 'DimDepartmentGroup' table holds descriptive names for various department groups within an organization, serving to categorize and organize departments for reporting and analysis purposes.",FALSE,
DimEmployee,EmployeeKey,INTEGER,"The 'EmployeeKey' column in the 'DimEmployee' table serves as a unique identifier for each employee, typically holding integer or alphanumeric values that facilitate efficient data retrieval and ensure data integrity across related tables in the database.",TRUE,
DimEmployee,ParentEmployeeKey,INTEGER,"The 'ParentEmployeeKey' column in the 'DimEmployee' table holds a unique identifier for an employee's direct supervisor or manager, facilitating hierarchical relationships and organizational structure within the employee data.",FALSE,DimEmployee.EmployeeKey
DimEmployee,EmployeeNationalIDAlternateKey,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EmployeeNationalIDAlternateKey' column in the 'DimEmployee' table holds alternative identifiers for employees, such as national identification numbers or social security numbers, to ensure unique identification across different systems and facilitate data integration and reporting.",FALSE,
DimEmployee,ParentEmployeeNationalIDAlternateKey,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ParentEmployeeNationalIDAlternateKey' column in the 'DimEmployee' table is designed to store an alternative identifier for an employee's national ID, facilitating unique identification and relationship mapping for employees with varying national ID formats or those from different jurisdictions.",FALSE,
DimEmployee,SalesTerritoryKey,INTEGER,"The 'SalesTerritoryKey' column in the 'DimEmployee' table likely holds unique identifiers for different sales territories, serving to associate employees with specific geographic or market areas for sales performance tracking and reporting.",FALSE,DimSalesTerritory.SalesTerritoryKey
DimEmployee,FirstName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FirstName' column in the 'DimEmployee' database table holds string data representing the given names of employees, serving to identify and personalize records within the employee management system.",FALSE,
DimEmployee,LastName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'LastName' column in the 'DimEmployee' database table holds string data representing the surnames of employees, serving to uniquely identify individuals and facilitate sorting and searching within employee records.",FALSE,
DimEmployee,MiddleName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'MiddleName' column in the 'DimEmployee' database table is designed to store the middle names of employees, providing additional personal identification that can enhance clarity and uniqueness in employee records.",FALSE,
DimEmployee,NameStyle,BIT,"The 'NameStyle' column in the 'DimEmployee' database table holds data indicating the preferred format of an employee's name (e.g., first name first or last name first), which is used to ensure consistency in name presentation across various applications and reports.",FALSE,
DimEmployee,Title,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Title' column in the 'DimEmployee' database table holds the job titles or positions of employees, serving to categorize their roles within the organization for reporting and analysis purposes.",FALSE,
DimEmployee,HireDate,DATE,"The 'HireDate' column in the 'DimEmployee' database table stores the date when an employee was officially hired, serving as a key reference for employment duration, tenure analysis, and workforce planning.",FALSE,
DimEmployee,BirthDate,DATE,"The 'BirthDate' column in the 'DimEmployee' table stores the date of birth for each employee, serving to facilitate age calculations, eligibility assessments for benefits, and compliance with age-related regulations.",FALSE,
DimEmployee,LoginID,"NVARCHAR(256) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'LoginID' column in the 'DimEmployee' database table holds unique identifiers for each employee's login credentials, facilitating secure access to company systems and applications.",FALSE,
DimEmployee,EmailAddress,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EmailAddress' column in the 'DimEmployee' table holds the email addresses of employees, serving as a unique identifier for communication and facilitating contact within the organization.",FALSE,
DimEmployee,Phone,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Phone' column in the 'DimEmployee' database table is designed to store the contact phone numbers of employees, facilitating communication and ensuring easy access to personnel for operational and administrative purposes.",FALSE,
DimEmployee,MaritalStatus,"NCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'MaritalStatus' column in the 'DimEmployee' database table holds categorical data indicating the marital status of employees (e.g., single, married, divorced, widowed), which is likely used for demographic analysis and benefits eligibility assessments.",FALSE,
DimEmployee,EmergencyContactName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EmergencyContactName' column in the 'DimEmployee' database table holds the name of an individual designated as an emergency contact for the employee, serving the purpose of providing a point of reference for communication in case of emergencies or urgent situations involving the employee.",FALSE,
DimEmployee,EmergencyContactPhone,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EmergencyContactPhone' column in the 'DimEmployee' table stores the phone number of an employee's designated emergency contact, facilitating quick communication in case of urgent situations or emergencies involving the employee.",FALSE,
DimEmployee,SalariedFlag,BIT,"The 'SalariedFlag' column in the 'DimEmployee' table holds a boolean value indicating whether an employee is salaried (true) or hourly (false), serving to differentiate compensation structures for payroll and reporting purposes.",FALSE,
DimEmployee,Gender,"NCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Gender' column in the 'DimEmployee' database table holds categorical data representing the gender identity of employees, typically used for demographic analysis and reporting within the organization.",FALSE,
DimEmployee,PayFrequency,TINYINT,"The 'PayFrequency' column in the 'DimEmployee' table holds data indicating the regularity of employee compensation, such as weekly, bi-weekly, or monthly, and is used to determine payroll processing schedules and financial planning.",FALSE,
DimEmployee,BaseRate,MONEY,"The 'BaseRate' column in the 'DimEmployee' table holds the standard hourly wage or salary rate for each employee, serving as a foundational metric for payroll calculations and financial reporting.",FALSE,
DimEmployee,VacationHours,SMALLINT,"The 'VacationHours' column in the 'DimEmployee' database table holds numerical data representing the total accrued vacation hours for each employee, serving the purpose of tracking and managing employee leave entitlements.",FALSE,
DimEmployee,SickLeaveHours,SMALLINT,"The 'SickLeaveHours' column in the 'DimEmployee' table holds numerical data representing the total hours of sick leave accrued or taken by each employee, serving to track employee absenteeism and manage leave entitlements effectively.",FALSE,
DimEmployee,CurrentFlag,BIT,"The 'CurrentFlag' column in the 'DimEmployee' table holds a boolean value indicating whether an employee is currently active or inactive within the organization, serving to facilitate filtering and reporting on the workforce status.",FALSE,
DimEmployee,SalesPersonFlag,BIT,"The 'SalesPersonFlag' column in the 'DimEmployee' table is a boolean indicator that designates whether an employee is involved in sales activities, helping to differentiate sales personnel from other roles within the organization.",FALSE,
DimEmployee,DepartmentName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'DepartmentName' column in the 'DimEmployee' table holds textual data representing the name of the department to which each employee belongs, serving to categorize employees for organizational analysis and reporting.",FALSE,
DimEmployee,StartDate,DATE,"The 'StartDate' column in the 'DimEmployee' table holds date values representing the official start date of each employee's tenure with the organization, serving as a key reference for employment duration and eligibility for benefits.",FALSE,
DimEmployee,EndDate,DATE,"The 'EndDate' column in the 'DimEmployee' table holds date values representing the termination date of an employee's tenure, serving to track employment duration and facilitate reporting on workforce changes.",FALSE,
DimEmployee,Status,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Status' column in the 'DimEmployee' table holds categorical data indicating the current employment status of each employee, such as 'Active', 'On Leave', 'Terminated', or 'Retired', to facilitate workforce management and reporting.",FALSE,
DimEmployee,EmployeePhoto,VARBINARY,"The 'EmployeePhoto' column in the 'DimEmployee' database table holds binary data or a URL link to an image file representing the employee's photograph, serving the purpose of visually identifying employees within the organization.",FALSE,
DimGeography,GeographyKey,INTEGER,"The 'GeographyKey' column in the 'DimGeography' table serves as a unique identifier for geographic entities, such as countries, regions, or cities, facilitating efficient data retrieval and relationships in geographic analysis and reporting.",TRUE,
DimGeography,City,"NVARCHAR(30) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'City' column in the 'DimGeography' table holds textual data representing the names of cities, serving to identify geographic locations for analysis and reporting in various applications.",FALSE,
DimGeography,StateProvinceCode,"NVARCHAR(3) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'StateProvinceCode' column in the 'DimGeography' table holds standardized codes representing specific states or provinces, facilitating efficient geographic categorization and analysis within the database.",FALSE,
DimGeography,StateProvinceName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'StateProvinceName' column in the 'DimGeography' table holds textual data representing the names of states or provinces, serving to categorize and identify geographic regions for analytical purposes in various applications such as reporting and data visualization.",FALSE,
DimGeography,CountryRegionCode,"NVARCHAR(3) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CountryRegionCode' column in the 'DimGeography' table holds standardized codes representing specific countries or regions, facilitating efficient data categorization and retrieval for geographic analysis and reporting.",FALSE,
DimGeography,EnglishCountryRegionName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishCountryRegionName' column in the 'DimGeography' table holds textual data representing the names of countries and regions in English, serving the purpose of providing a standardized reference for geographic locations in analytical queries and reporting.",FALSE,
DimGeography,SpanishCountryRegionName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SpanishCountryRegionName' column in the 'DimGeography' table holds the names of countries and regions where Spanish is an official language, serving to facilitate geographic analysis and reporting related to Spanish-speaking populations.",FALSE,
